author,video_count,median_engagement_rate,median_views,max_views,median_efficiency,author_verified,confidence,already_large_reach,segment,promising_score
reus.fx,2,0.4007381243457061,232950.0,340500,2.169431203588504e-06,False,medium,False,Rising,0.3205904994765649
salamander.5,2,0.31868937574388323,46000.0,72700,1.1244964805636946e-05,False,medium,False,Rising,0.2549515005951066
sicrosub,2,0.3135652429731659,204400.0,222000,1.549097925406327e-06,False,medium,False,Rising,0.25085219437853273
bundaddy,5,0.23045045045045046,99900.0,151900,2.306811315820325e-06,False,high,False,Rising,0.23045045045045046
zoe.eventing,2,0.28107178932178933,97650.0,126000,3.1967429916564116e-06,False,medium,False,Rising,0.22485743145743148
xaaku,3,0.21227071005917159,143700.0,540800,1.6546011102345845e-06,False,high,False,Rising,0.21227071005917159
anwarali0125,1,0.4973488865323436,943.0,943,0.0005274113324839274,False,low,False,Rising,0.19893955461293744
erinwilliams_1,3,0.19420388349514564,309000.0,1200000,6.284915323467496e-07,False,high,False,Rising,0.19420388349514564
chris_wells_,3,0.19247116968698516,64400.0,101800,3.1708594676603816e-06,False,high,False,Rising,0.19247116968698516
l3fty_fr3ak,1,0.4787160940325497,55300.0,55300,8.656710561167265e-06,False,low,False,Rising,0.1914864376130199
liamkratos,3,0.18416201117318437,62100.0,66900,3.329521497973504e-06,False,high,False,Rising,0.18416201117318437
bf_of_an_equestrian,2,0.22228742401042118,270150.0,434600,1.3567624508585969e-06,False,medium,False,Rising,0.17782993920833695
annie.dess,2,0.21332209790209788,721500.0,1300000,8.526481294928848e-07,False,medium,False,Rising,0.17065767832167833
fetishold,2,0.20883021574449123,63950.0,73700,3.432781895717762e-06,False,medium,False,Rising,0.167064172595593
papaswolio,4,0.16699495407424503,266600.0,349800,6.204903908640781e-07,False,high,False,Rising,0.16699495407424503
cainguzman,4,0.23846572349694387,739300.0,1000000,3.58416128241601e-07,True,high,False,Proven,0.1669260064478607
yuki__no__hana,2,0.19888199071935958,205450.0,345000,1.8807200187629412e-06,False,medium,False,Rising,0.15910559257548768
